ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
1110001J03Rik	97.3789	79.5797	67.7362	81.2387	90.7122	73.842	88.4526	79.5077	90.7325	94.5007	60.0776	56.674	81.5303	69.3488	70.6219	79.5188	75.0656	65.682
1110002L01Rik	22.0734	21.1151	23.0785	25.6637	24.1252	23.78	23.9121	27.0629	20.2875	22.7489	23.6585	22.336	22.6918	27.3769	24.4868	22.9523	22.668	22.5021
1110004E09Rik	20.8989	21.0476	17.6233	21.0201	24.5279	21.284	18.5293	19.1822	19.0777	20.885	18.17	17.5035	18.7244	20.5687	20.7208	17.0121	18.0227	17.5694
1110004F10Rik	60.9083	57.1875	53.5403	64.8669	73.4269	63.9671	67.1096	66.4043	58.1578	68.2611	59.9827	56.4359	56.1694	60.4435	61.6622	52.1772	58.114	56.4959
1110006O24Rik	1.19319	0.450443	0.347002	0.769829	1.28412	0.852291	1.00445	1.39719	0.931273	0.394944	0.572874	0.516861	0.721153	0.835011	0.478129	0.219384	0.465857	0.849317
1110007C09Rik	6.56901	6.99255	6.95231	5.78392	7.10674	6.40348	7.54671	9.24629	6.95524	6.87283	6.73939	4.45974	5.09739	5.76952	6.31861	5.94071	5.19547	5.65285
1110008F13Rik	14.5475	14.4129	13.2229	12.7911	15.3938	12.3018	12.0203	10.6478	12.12	13.7005	11.5806	11.2288	12.6142	10.4452	13.9782	9.75052	12.8827	12.0519
1110008L16Rik	2.5975	2.17966	2.01364	2.31429	3.29009	3.06419	2.54417	2.57967	2.19728	2.33777	2.60719	2.04555	2.30177	2.37902	2.17566	2.3433	2.65693	2.26765
1110008P14Rik	45.7079	42.2161	39.2667	43.1064	57.7677	45.2824	44.7848	46.6128	35.6878	46.3046	37.6398	43.1124	43.6828	40.0235	44.3414	37.4666	35.5835	34.1007
1110012L19Rik	12.4239	11.2431	11.5408	11.9616	13.9387	11.6585	13.0043	13.2529	11.4069	13.052	10.8499	10.0094	10.7119	12.9875	11.9975	10.7281	12.8525	11.2232
1110015O18Rik	1.41957	1.07026	1.42758	1.37276	1.13849	1.24894	1.87647	1.59956	1.39942	1.55422	1.86488	1.50871	1.88445	1.78177	1.6094	1.69229	1.6416	1.95768
1110017D15Rik	15.4418	14.7425	9.36878	10.7938	13.0425	11.3469	11.5353	6.79227	9.294	11.3283	8.83762	6.6499	8.76902	8.46822	8.30144	7.117	12.4847	8.35724
1110019D14Rik	0.87137	1.28263	0.966521	0.665454	1.11002	0.97808	0.625152	0.631964	0.881676	0.903697	0.768867	0.879606	1.09911	1.03114	0.988975	0.837574	1.13258	1.16509
1110020A21Rik	1.41658	0.901563	0.735693	0.928479	1.15353	0.99412	0.928287	0.845458	1.07696	0.503026	0.96759	0.855998	0.751783	0.569037	0.474784	0.772924	0.582787	1.03264
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110028F11Rik	0.0275166	0.0118136	0.0257853	0.0326885	0.0306711	0.0393099	0.00895674	0.0	0.0197719	0.00517901	0.0067215	0.0	0.0	0.0	0.0228401	0.00815107	0.00649073	0.0164639
1110028F18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	17.4059	15.2051	14.277	16.131	17.1446	15.4293	16.613	14.459	14.2076	16.276	13.5771	12.5566	13.3694	13.3549	13.7828	13.2288	14.183	14.1052
