CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13RIK	25.237196936797	0.254512187660904	13	1.57519288874217	25.4054054054054	0.843567375936302	12	8	0.136363636363636	1
0610007P14RIK	28.3763968586499	31.5088261242348	32	2.91328396375066	22.1548821548822	0.360209676462567	12	8	0.136363636363636	1
0610009B22RIK	5.94911313050524e-05	27.4025621264503	48	0.560161245625168	20	0.998855249268927	12	8	0.136363636363636	1
0610009L18RIK	28.4423870562171	6.0053862294357	30	3.65002195561501	22.457337883959	0.18996210773058	12	8	0.136363636363636	1
0610009O20RIK	27.9978760411327	14.7245080864015	1	2.01775363636119	28	0.680597770092257	12	8	0.136363636363636	1
0610010B08RIK	27.6136287279949	4.66762873241792	47	0.546533748238192	20.1223241590214	0.99901225801254	12	8	0.136363636363636	1
0610010F05RIK	37.6445136746276	11.6307433813186	5	2.41627138673198	27.0781893004115	0.526653708937378	12	8	0.136363636363636	1
0610010K14RIK	27.9389945510544	25.1927185310274	28	2.66758636103336	22.7681660899654	0.437618151788386	12	8	0.136363636363636	1
0610011F06RIK	28.1926673263482	37.9739882197255	48	1.9700935927135	20	0.699230437429221	12	8	0.136363636363636	1
0610012G03RIK	27.8152630326252	18.6595573785078	30	2.33206360051913	22.457337883959	0.558291463635016	12	8	0.136363636363636	1
0610030E20RIK	28.2461179359242	3.59781614337605	1	0.275488328248524	28	0.999988695972611	12	8	0.136363636363636	1
0610031O16RIK	28.0972658236022	0.0562902798560101	4	2.83564123474024	27.3029045643154	0.383554025938368	12	8	0.136363636363636	1
0610037L13RIK	27.8993111945639	15.7605638662916	24	3.40506576000811	23.4163701067616	0.236733024724274	12	8	0.136363636363636	1
0610038B21RIK	22.0553870402653	0.120151365838818	48	0.500504432659349	20	0.999421921208782	12	8	0.136363636363636	1
0610039H22RIK	40.1476831613097	0.0231976340801389	12	2.26326802088823	25.6031128404669	0.584639478362704	12	8	0.136363636363636	1
0610039K10RIK	5.94911313050524e-05	0.751936655472704	1	0.69607160616621	28	0.996001557058612	12	8	0.136363636363636	1
0610040B10RIK	28.0937367928871	8.49532151039084	36	4.61926968129501	21.5737704918033	0.0762108335350675	12	8	0.136363636363636	1
0610040F04RIK	28.2784314080008	0.50059111748374	41	3.61331623401017	20.8888888888889	0.196404695793992	12	8	0.136363636363636	1
0610040J01RIK	26.8323843360115	1.84748155967475	6	0.812203414765313	26.8571428571429	0.990851397790667	12	8	0.136363636363636	1
0610043K17RIK	19.9514323788745	0.719874303512265	1	1.96316969032492	28	0.701928725706872	12	8	0.136363636363636	1
1010001N08RIK	27.1935765533186	0	27	1.03260341147725	22.9268292682927	0.970442877643948	12	8	0.136363636363636	1
1110001J03RIK	5.94911313050524e-05	92.8957642232963	25	1.20801535962535	23.2508833922262	0.941549748243078	12	8	0.136363636363636	1
1110002L01RIK	35.6487814686884	25.464761987323	1	1.93352727565637	28	0.713448171563461	12	8	0.136363636363636	1
1110004E09RIK	28.0947796107462	21.6350541098771	16	1.67666032792275	24.8301886792453	0.809131049464835	12	8	0.136363636363636	1
1110004F10RIK	29.4598915205176	66.4986748996351	32	3.94959842276576	22.1548821548822	0.144101075848867	12	8	0.136363636363636	1
1110006O24RIK	31.6940123913776	1.07591497080042	1	2.80571485599642	28	0.392831641304235	12	8	0.136363636363636	1
1110007C09RIK	29.579302551104	7.89407208534431	24	3.05584795321937	23.4163701067616	0.320105698463245	12	8	0.136363636363636	1
1110008F13RIK	27.6707631266435	13.5814945959226	23	1.58242178683834	23.584229390681	0.841199326046814	12	8	0.136363636363636	1
1110008L16RIK	28.8150589052935	2.7631355538917	48	0.97497445168847	20	0.977365144413934	12	8	0.136363636363636	1
1110008P14RIK	28.0914588843653	49.2368908173691	28	2.41283242791554	22.7681660899654	0.527930615422118	12	8	0.136363636363636	1
1110012L19RIK	36.1727615991377	12.75739437029	48	2.2716078429324	20	0.581425076909171	12	8	0.136363636363636	1
1110015O18RIK	13.3436955603361	1.78027735209217	13	3.61947241667387	25.4054054054054	0.195310768912593	12	8	0.136363636363636	1
1110017D15RIK	25.992283841441	11.7188777438569	29	2.34911712348903	22.6116838487973	0.551825059181782	12	8	0.136363636363636	1
1110019D14RIK	22.2716818431571	1.10887708096504	5	2.82947012449742	27.0781893004115	0.385454501609012	12	8	0.136363636363636	1
1110020A21RIK	28.2507610630783	1.00963707759987	1	3.83109074695714	28	0.160875639079392	12	8	0.136363636363636	1
1110025L11RIK	43.9999411645168	0	NA	NA	NA	1	12	8	NA	1
1110028F11RIK	27.0332830501184	0.0167422232892181	19	3.69387138216038	24.280442804428	0.182513667838646	12	8	0.136363636363636	1
1110028F18RIK	43.9999411645168	0	NA	NA	NA	1	12	8	NA	1
1110032A03RIK	27.9728877585431	15.7606175478834	25	3.25844907339182	23.2508833922262	0.269227375333614	12	8	0.136363636363636	1
1110032F04RIK	9.53330000140799	2.72527706920921	1	3.01822360657876	28	0.330341567912085	12	8	0.136363636363636	1
1110034G24RIK	23.3226602595595	4.63993910151514	1	1.23224453451057	28	0.936606357057913	12	8	0.136363636363636	1
1110036E04RIK	43.9999411645168	0	NA	NA	NA	1	12	8	NA	1
1110037F02RIK	8.32236882493374	5.1983997407623	48	1.60364099920292	20	0.834168715237585	12	8	0.136363636363636	1
1110038B12RIK	27.9533840347537	19.5930117413442	48	2.6759669462336	20	0.434811092458045	12	8	0.136363636363636	1
